,movie_id,actor_id
151,566525,123701
152,566525,1620
153,566525,57609
154,19995,65731
155,19995,8691
156,19995,10205
157,19995,32747
158,19995,17647
159,19995,1771
160,19995,59231
161,476669,5469
162,476669,1716493
163,476669,59620
164,476669,7026
165,476669,938
166,476669,1247
167,476669,2441
168,459151,7447
169,459151,11006
170,459151,12110
171,459151,4785
172,459151,52605
173,459151,14406
174,459151,78303
175,425909,1308445
176,425909,1442069
177,425909,1172108
178,425909,22226
179,425909,2357412
180,425909,1972881
181,425909,1532
182,585245,1696017
183,585245,212285
184,585245,2362044
185,585245,8930
186,585245,25147
187,585245,58563
188,585245,55259
189,299536,3223
190,299536,74568
191,299536,103
192,299536,16828
193,299536,1245
194,299536,71580
195,299536,1136406
196,1865,85
197,1865,955
198,1865,118
199,1865,6972
200,1865,2449
201,1865,237455
202,1865,469759
203,624860,6384
204,624860,530
205,624860,1639847
206,624860,1202689
207,624860,221611
208,624860,41686
209,624860,77234
210,58,85
211,58,114
212,58,116
213,58,1640
214,58,2440
215,58,1709
216,58,2449
217,454626,222121
218,454626,11006
219,454626,206
220,454626,110742
221,454626,1546282
222,454626,115974
223,454626,208677
224,512195,18918
225,512195,10859
226,512195,90633
227,512195,1742596
228,512195,1217648
229,512195,2777637
230,512195,20588
231,285,85
232,285,114
233,285,116
234,285,118
235,285,1640
236,285,1619
237,285,2440
238,22,85
239,22,114
240,22,116
241,22,118
242,22,1709
243,22,378
244,22,1710
245,460465,1610940
246,460465,136347
247,460465,189230
248,460465,592496
249,460465,51684
250,460465,2481704
251,460465,962438
252,337404,54693
253,337404,7056
254,337404,54811
255,337404,1294982
256,337404,2983
257,337404,2163852
258,337404,1532312
259,550988,10859
260,550988,1388593
261,550988,1467219
262,550988,1488961
263,550988,929511
264,550988,55934
265,550988,38673
266,270303,1094091
267,270303,132712
268,270303,1172147
269,270303,133980
270,270303,1210610
271,270303,1361099
272,270303,1361100
273,508943,1277188
274,508943,1774679
275,508943,2990400
276,508943,1874693
277,508943,52792
278,508943,2990412
279,508943,84407
280,436969,234352
281,436969,17605
282,436969,56446
283,436969,92404
284,436969,16483
285,436969,19492
286,436969,83854
287,661231,5472
288,661231,15576
289,661231,9015
290,661231,1249
291,661231,137108
292,661231,11355
293,661231,34546
294,385128,12835
295,385128,17647
296,385128,8169
297,385128,8171
298,385128,56446
299,385128,1251069
300,385128,22123
301,299534,3223
302,299534,16828
303,299534,103
304,299534,74568
305,299534,1245
306,299534,17604
307,299534,1896
308,597208,51329
309,597208,112
310,597208,3051
311,597208,5293
312,597208,28633
313,597208,108916
314,597208,2372
315,791373,880
316,791373,73968
317,791373,90633
318,791373,117642
319,791373,132157
320,791373,1313559
321,791373,9273
322,423108,17178
323,423108,21657
324,423108,1731961
325,423108,2485582
326,423108,2047847
327,423108,1381
328,423108,1317693
329,379686,107379
330,379686,1896
331,379686,2998402
332,379686,179896
333,379686,86498
334,379686,505710
335,379686,89599
336,24428,3223
337,24428,16828
338,24428,103
339,24428,74568
340,24428,1245
341,24428,17604
342,24428,91606
343,166426,85
344,166426,3810
345,166426,118
346,166426,1017347
347,166426,115150
348,166426,2449
349,166426,229932
350,497698,1245
351,497698,1373737
352,497698,3293
353,497698,35029
354,497698,5538
355,497698,18182
356,497698,1743933
357,744275,1753914
358,744275,1114487
359,744275,20805
360,744275,2035329
361,744275,20960
362,744275,20373
363,744275,32203
364,482321,58225
365,482321,1774679
366,482321,27105
367,482321,39187
368,482321,1029934
369,482321,1091324
370,482321,2309874
371,438631,1190668
372,438631,933238
373,438631,25072
374,438631,16851
375,438631,1640
376,438631,543530
377,438631,195666
378,451048,18918
379,451048,5081
380,451048,25616
381,451048,212285
382,451048,88124
383,451048,13242
384,451048,1029593
385,399566,28846
386,399566,1356210
387,399566,15556
388,399566,226366
389,399566,46364
390,399566,1222992
391,399566,1139349
392,522016,83002
393,522016,1267329
