,movie_id,genre_id
481,631132,14
482,412656,878
483,216015,18
484,216015,10749
485,216015,53
486,425,16
487,425,35
488,425,10751
489,425,12
490,337401,12
491,337401,14
492,337401,18
493,122917,28
494,122917,12
495,122917,14
496,10144,16
497,10144,10751
498,10144,14
499,384018,28
500,384018,12
501,384018,35
502,10198,10749
503,10198,10751
504,10198,16
505,351286,28
506,351286,12
507,351286,878
508,72545,12
509,72545,28
510,72545,878
511,801604,28
512,604822,28
513,604822,12
514,604822,80
515,529106,28
516,529106,12
517,228150,10752
518,228150,18
519,228150,28
520,14161,28
521,14161,12
522,14161,878
523,503736,28
524,503736,80
525,503736,27
526,503736,53
527,301528,10751
528,301528,12
529,301528,16
530,301528,35
531,301528,14
532,301528,18
533,76338,28
534,76338,12
535,76338,14
536,632632,16
537,632632,18
538,632632,10402
539,632632,10749
540,8960,14
541,8960,28
542,260514,16
543,260514,12
544,260514,35
545,260514,10751
546,447404,28
547,447404,12
548,447404,14
549,72190,28
550,72190,18
551,72190,27
552,72190,878
553,72190,53
554,568160,16
555,568160,18
556,568160,14
557,568160,10749
558,3933,10749
559,3933,14
560,3933,16
561,109445,16
562,109445,10751
563,109445,12
564,109445,14
565,383498,28
566,383498,35
567,383498,12
568,845222,18
569,845222,14
570,845222,53
571,574060,28
572,574060,80
573,574060,53
574,1726,28
575,1726,878
576,1726,12
577,168259,28
578,168259,53
579,168259,80
580,168259,12
581,32657,12
582,32657,14
583,32657,10751
584,557,14
585,557,28
586,68721,28
587,68721,12
588,68721,878
589,98566,878
590,98566,28
591,98566,12
592,98566,35
593,157336,12
594,157336,18
595,157336,878
596,260346,53
597,260346,28
598,68726,28
599,68726,878
600,68726,12
601,378064,16
602,378064,18
603,378064,10749
604,439079,27
605,439079,9648
606,439079,53
607,11224,10751
608,11224,14
609,11224,16
610,11224,10749
611,475557,80
612,475557,53
613,475557,18
614,628704,53
615,8966,14
616,8966,18
617,8966,10749
618,630586,27
619,630586,53
620,420809,10751
621,420809,14
622,420809,12
623,22832,28
624,4247,35
625,123553,14
626,123553,28
627,123553,9648
628,10674,16
629,10674,10751
630,10674,12
631,9637,9648
632,9637,12
633,9637,35
634,630004,80
635,630004,28
636,630004,53
637,38757,16
638,38757,10751
639,35,16
640,35,35
641,35,10751
642,559,14
643,559,28
644,559,12
645,49013,16
646,49013,10751
647,49013,12
648,49013,35
649,343668,28
650,343668,12
651,343668,35
652,343668,878
653,343668,80
654,299537,28
655,299537,12
656,299537,878
657,681887,28
658,681887,12
659,681887,878
660,43347,18
661,43347,35
662,43347,10749
663,581387,28
664,581387,12
665,581387,53
666,576845,53
667,576845,27
668,576845,9648
669,14160,16
670,14160,35
671,14160,10751
672,14160,12
673,12,16
674,12,10751
675,296096,18
676,296096,10749
677,436931,10751
678,436931,16
679,436931,12
680,436931,14
681,283995,12
682,283995,28
683,283995,878
684,44918,28
685,44918,12
686,44918,53
687,324857,28
688,324857,12
689,324857,16
690,324857,878
691,102651,14
692,102651,12
693,102651,28
694,102651,10751
695,102651,10749
696,50620,12
697,50620,14
698,50620,18
699,50620,10749
700,644495,18
701,644495,80
702,644495,53
703,495764,28
704,495764,80
705,617502,28
706,617502,53
707,740925,27
708,740925,53
709,740925,9648
710,619778,53
711,619778,27
712,619778,9648
713,333339,878
714,333339,12
715,333339,28
716,522627,80
717,522627,28
718,522627,35
719,446893,10751
720,446893,16
721,446893,35
722,446893,14
723,446893,12
724,446893,10402
725,91314,878
726,91314,28
727,91314,12
728,131631,878
729,131631,12
730,131631,53
731,50619,12
732,50619,14
733,50619,10749
734,586047,878
735,586047,28
736,591273,9648
737,591273,27
738,27205,28
739,27205,878
740,27205,12
741,120,12
742,120,14
743,120,28
744,10193,16
745,10193,10751
746,10193,35
747,76341,28
748,76341,12
749,76341,878
750,676845,27
751,810,14
752,810,12
753,810,16
754,810,35
755,810,10751
756,1771,28
757,1771,12
758,1771,878
759,591274,9648
760,591274,27
761,480530,18
762,646380,35
763,646380,18
764,646380,878
765,335797,16
766,335797,35
767,335797,10751
768,335797,10402
769,11544,16
770,11544,10751
771,44943,878
772,44943,28
773,254128,28
774,254128,18
775,254128,53
776,503314,28
777,503314,878
778,503314,16
779,420818,12
780,420818,10751
781,420818,16
782,420818,18
783,345938,18
784,345938,14
785,307081,28
786,307081,18
787,49026,28
788,49026,80
789,49026,18
790,49026,53
791,602734,27
792,602734,80
793,602734,9648
794,9806,28
795,9806,12
796,9806,16
797,9806,10751
798,75780,80
799,75780,18
800,75780,53
801,75780,28
802,8355,16
803,8355,35
804,8355,10751
805,8355,12
806,119450,878
807,119450,28
808,119450,18
809,119450,53
810,297802,28
811,297802,12
812,297802,14
813,614917,18
814,614917,36
815,72105,35
816,72105,14
817,512200,12
818,512200,35
819,512200,14
820,617708,53
821,617708,27
822,617708,18
823,294254,878
824,294254,28
825,294254,53
826,294254,12
827,246655,28
828,246655,12
829,246655,878
830,246655,14
831,121,12
832,121,14
833,121,28
834,398818,10749
835,398818,18
836,581644,28
837,581644,53
838,11322,28
839,11322,80
840,10192,35
841,10192,12
842,10192,14
843,10192,16
844,10192,10751
845,396535,28
846,396535,27
847,396535,53
848,49530,28
